Zeit,Kessel,Kessel Soll,Kesseldruck,Abgas,Restsauerstoff,Abgasgebläse,Verbrauch seit Aschebox leeren,Inhalt Pelletsbehälter,Kollektor,Ladezustand,Angeforderte Leistung,Fühler 1 (oben),Fühler 2,Fühler 3,Fühler 4,Fühler 5,Vorlauf,Heizkurve,Vorrat,Außentemperatur,Externe Störmeldung
 17.03.2024 15:18:21,57°C,57°C,"1,69bar",40°C,---,0U/min,1323kg,45kg,42°C,32%,xxx,65°C,64°C,60°C,53°C,40°C,28°C,28°C,2203kg,"10,7°C",
 17.03.2024 15:19:21,57°C,57°C,"1,69bar",40°C,---,0U/min,1323kg,45kg,42°C,32%,xxx,65°C,64°C,60°C,53°C,40°C,28°C,28°C,2203kg,"10,7°C",
 17.03.2024 15:24:03,57°C,57°C,"1,69bar",40°C,---,0U/min,1323kg,45kg,41°C,31%,xxx,65°C,64°C,59°C,52°C,40°C,28°C,28°C,2203kg,"10,9°C",
 17.03.2024 15:28:25,56°C,57°C,"1,68bar",39°C,---,0U/min,1323kg,45kg,41°C,31%,xxx,65°C,64°C,59°C,52°C,40°C,28°C,28°C,2203kg,"11,1°C",
 17.03.2024 15:33:18,56°C,57°C,"1,68bar",39°C,---,0U/min,1323kg,45kg,40°C,30%,xxx,64°C,64°C,59°C,51°C,40°C,28°C,28°C,2203kg,"11,2°C",
 17.03.2024 15:38:12,55°C,57°C,"1,68bar",39°C,---,0U/min,1323kg,45kg,40°C,29%,xxx,64°C,63°C,58°C,51°C,40°C,28°C,28°C,2203kg,"11,2°C",
 17.03.2024 15:39:12,55°C,57°C,"1,67bar",39°C,---,0U/min,1323kg,45kg,40°C,29%,xxx,64°C,63°C,58°C,51°C,40°C,27°C,28°C,2203kg,"11,1°C",
 17.03.2024 15:43:31,55°C,57°C,"1,67bar",38°C,---,0U/min,1323kg,45kg,39°C,28%,xxx,64°C,63°C,58°C,50°C,40°C,27°C,28°C,2203kg,"11,1°C",
 17.03.2024 15:44:32,55°C,57°C,"1,67bar",38°C,---,0U/min,1323kg,45kg,39°C,28%,xxx,64°C,63°C,58°C,50°C,40°C,28°C,28°C,2203kg,"11,1°C",
 17.03.2024 15:48:52,54°C,57°C,"1,66bar",38°C,---,0U/min,1323kg,45kg,39°C,27%,xxx,64°C,63°C,57°C,50°C,40°C,28°C,28°C,2203kg,"11,1°C",
 17.03.2024 15:49:52,54°C,57°C,"1,66bar",38°C,---,0U/min,1323kg,45kg,39°C,27%,xxx,64°C,63°C,57°C,50°C,40°C,27°C,28°C,2203kg,"11,1°C",
 17.03.2024 15:54:32,54°C,57°C,"1,66bar",38°C,---,0U/min,1323kg,45kg,38°C,27%,xxx,64°C,62°C,57°C,50°C,39°C,27°C,28°C,2203kg,"11,1°C",
 17.03.2024 15:55:28,54°C,57°C,"1,66bar",38°C,---,0U/min,1323kg,45kg,38°C,26%,xxx,64°C,62°C,56°C,50°C,39°C,28°C,28°C,2203kg,"11,1°C",
 17.03.2024 16:00:26,54°C,57°C,"1,65bar",38°C,---,0U/min,1323kg,45kg,38°C,25%,xxx,64°C,62°C,56°C,49°C,39°C,28°C,28°C,2203kg,"11,1°C",
 17.03.2024 16:01:26,53°C,57°C,"1,65bar",38°C,---,0U/min,1323kg,45kg,38°C,25%,xxx,64°C,62°C,56°C,49°C,39°C,27°C,28°C,2203kg,"11,0°C",
 17.03.2024 16:09:17,53°C,57°C,"1,65bar",37°C,---,0U/min,1323kg,45kg,37°C,24%,xxx,63°C,61°C,55°C,49°C,39°C,27°C,28°C,2203kg,"10,8°C",
