Zeit,Kessel,Kessel Soll,Kesseldruck,Abgas,Restsauerstoff,Abgasgebläse,Verbrauch seit Aschebox leeren,Inhalt Pelletsbehälter,Kollektor,Ladezustand,Angeforderte Leistung,Fühler 1 (oben),Fühler 2,Fühler 3,Fühler 4,Fühler 5,Vorlauf,Heizkurve,Vorrat,Außentemperatur,Externe Störmeldung
 17.03.2024 13:24:33,64°C,57°C,"1,81bar",42°C,---,0U/min,1323kg,45kg,63°C,46%,xxx,69°C,69°C,67°C,63°C,40°C,27°C,29°C,2203kg,"11,1°C",
 17.03.2024 13:25:44,64°C,57°C,"1,81bar",42°C,---,0U/min,1323kg,45kg,63°C,46%,xxx,69°C,69°C,66°C,63°C,40°C,31°C,29°C,2203kg,"11,1°C",
 17.03.2024 13:26:53,64°C,57°C,"1,81bar",42°C,---,0U/min,1323kg,45kg,63°C,46%,xxx,69°C,69°C,66°C,63°C,40°C,27°C,29°C,2203kg,"11,1°C",
 17.03.2024 13:28:03,64°C,57°C,"1,81bar",42°C,---,0U/min,1323kg,45kg,62°C,46%,xxx,69°C,69°C,66°C,62°C,40°C,29°C,29°C,2203kg,"11,1°C",
 17.03.2024 13:29:12,64°C,57°C,"1,80bar",43°C,---,0U/min,1323kg,45kg,60°C,46%,xxx,69°C,69°C,66°C,62°C,40°C,30°C,29°C,2203kg,"11,1°C",
 17.03.2024 13:30:27,63°C,57°C,"1,80bar",43°C,---,0U/min,1323kg,45kg,60°C,46%,xxx,69°C,69°C,66°C,62°C,40°C,26°C,29°C,2203kg,"11,1°C",
 17.03.2024 13:31:36,63°C,57°C,"1,80bar",43°C,---,0U/min,1323kg,45kg,59°C,46%,xxx,69°C,69°C,66°C,62°C,40°C,28°C,29°C,2203kg,"11,1°C",
 17.03.2024 13:32:49,63°C,57°C,"1,80bar",43°C,---,0U/min,1323kg,45kg,59°C,46%,xxx,69°C,69°C,66°C,62°C,39°C,30°C,29°C,2203kg,"11,1°C",
 17.03.2024 13:33:59,63°C,57°C,"1,80bar",43°C,---,0U/min,1323kg,45kg,59°C,46%,xxx,69°C,69°C,66°C,62°C,39°C,27°C,28°C,2203kg,"11,1°C",
 17.03.2024 13:35:09,63°C,57°C,"1,80bar",43°C,---,0U/min,1323kg,45kg,58°C,45%,xxx,69°C,69°C,66°C,62°C,39°C,29°C,28°C,2203kg,"11,1°C",
